total_bill,tip,sex,smoker,day,time,size
16.99,1.01,Female,No,Sun,Dinner,2
10.34,1.66,Male,No,Sun,Dinner,3
21.01,3.5,Female,No,Sun,Dinner,3
23.68,3.31,Male,No,Sun,Dinner,2
24.59,3.61,Female,No,Sun,Dinner,4
25.29,4.71,Female,No,Sun,Dinner,4
8.77,2,Female,No,Sun,Dinner,2
12.6,2,Female,No,Sun,Dinner,2
29.03,5.92,Male,No,Sun,Dinner,3
27.18,2,Male,Yes,Sun,Dinner,2
22.67,2,Male,No,Sun,Dinner,2
17.82,1.75,Female,No,Sun,Dinner,2
19.08,3.92,Female,No,Sun,Dinner,2
20.23,3.65,Female,No,Sun,Dinner,3
13.42,1.57,Female,No,Sun,Dinner,3
